Rank,Mark,Competitor,Date of birth,Nationality,Position in the competition,dummy,Place of the competition,Date,Result score,athlete_href
337,1:48.43,Sergey DUBROVSKIY,20 JAN 1995,RUS,1h3,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1071,/athletes/athlete=14576424
339,1:48.44,Jakub DAVIDÍK,20 JAN 2002,CZE,3,,"Vitkovice, Ostrava (CZE)",22 AUG 2020,1071,/athletes/athlete=14757886
340,1:48.45,Christian VON EITZEN,01 JAN 1997,GER,4,,"Eintracht-Stadion, Braunschweig (GER)",09 AUG 2020,1071,/athletes/athlete=14521681
340,1:48.45,Bram BUIGEL,12 MAY 1995,NED,3f1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",15 AUG 2020,1071,/athletes/athlete=14536029
342,1:48.46,Jorge Arturo MONTES,12 MAY 1997,MEX,1,,"Estadio Héroes de Nacozari, Hermosillo (MEX)",31 JAN 2020,1070,/athletes/athlete=14818638
342,1:48.46,Jurgen WIELART,17 JAN 1992,NED,1,,"Sportcentrum Papendal, Arnhem (NED)",04 JUL 2020,1070,/athletes/athlete=14429680
342,1:48.46,Aaron BOTTERMAN,01 MAY 1994,BEL,8f1,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1070,/athletes/athlete=14451379
342,1:48.46,Tamás KAZI,16 MAY 1985,HUN,3,,"Lantos Mihály Sportközpont, Budapest (HUN)",13 SEP 2020,1070,/athletes/athlete=14196588
346,1:48.48,Máté EGYÜD,23 FEB 1996,HUN,3f1,,"Egyetemi Stadion, Veszprém (HUN)",16 JUL 2020,1070,/athletes/athlete=14508170
346,1:48.48,Benjamin ROBERT,04 JAN 1998,FRA,1f1,,"Stade de Stehelin, Bordeaux (FRA)",17 JUL 2020,1070,/athletes/athlete=14683828
348,1:48.49,Gergő KISS,24 JUL 1995,HUN,2,,"Lantos Mihály Sportközpont, Budapest (HUN)",09 AUG 2020,1069,/athletes/athlete=14392079
349,1:48.50,Cruz CULPEPPER,10 APR 2002,USA,2f6,,"Poston Butte HS, San Tan Valley, AZ (USA)",13 JUN 2020,1069,/athletes/athlete=14839201
349,1:48.50,Italo ARAUJO,09 MAR 1998,BRA,2,,"COTP Stadium, São Paulo (BRA)",06 DEC 2020,1069,/athletes/athlete=14663372
349,1:48.50,Eduardo RIBEIRO,09 JAN 2001,BRA,1h3,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1069,/athletes/athlete=14816397
352,1:48.51,Archie DAVIS,16 OCT 1998,GBR,2f3,,"Norman Park Athletics Track, Bromley (GBR)",21 AUG 2020,1069,/athletes/athlete=14593733
353,1:48.52,Julio DIAZ,02 SEP 2000,MEX,2,,"Estadio Héroes de Nacozari, Hermosillo (MEX)",31 JAN 2020,1069,/athletes/athlete=14751448
353,1:48.52,Jordan WILLIAMSZ,21 AUG 1992,AUS,1f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1069,/athletes/athlete=14336237
355,1:48.53,Archie DAVIS,16 OCT 1998,GBR,1f7,,"Worthing Athletics Track, Worthing (GBR)",11 AUG 2020,1068,/athletes/athlete=14593733
356,1:48.54,Tony VAN DIEPEN,17 APR 1996,NED,1f1,,"Leppävaaran Stadion, Espoo (FIN)",05 AUG 2020,1068,/athletes/athlete=14534783
356,1:48.54,Daichi SETOGUCHI,04 AUG 1998,JPN,3,,"National Stadium, Tokyo (JPN)",23 AUG 2020,1068,/athletes/athlete=14766570
356,1:48.54,Stefano MIGLIORATI,08 DEC 1994,ITA,2,,"Stadio Colbachini, Padova (ITA)",29 AUG 2020,1068,/athletes/athlete=14521212
359,1:48.55,Craig ENGELS,01 MAY 1994,USA,1,,"Jesuit High School Track, Portland, OR (USA)",03 JUL 2020,1068,/athletes/athlete=14467155
359,1:48.55,Jeremy HERNANDEZ,13 APR 1996,USA,5,,"William Hall High, West Hartford, CT (USA)",27 JUL 2020,1068,/athletes/athlete=14633560
359,1:48.55,Joeri SLAGTER,28 JUL 1995,NED,4f1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",15 AUG 2020,1068,/athletes/athlete=14741443
359,1:48.55,Junya MATSUMOTO,28 SEP 2000,JPN,3h2,,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2020,1068,/athletes/athlete=14854774
359,1:48.55,Leandro ALVES,04 AUG 1998,BRA,1h2,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1068,/athletes/athlete=14853873
364,1:48.56,David NIKOLLI,20 JUN 1994,ALB,2f1,,"Campo Comunale, Brugherio (ITA)",01 SEP 2020,1067,/athletes/athlete=14777746
365,1:48.57,Matheus Americo MEDEIROS PESSOA,09 APR 1996,BRA,1,,"CNDA, Bragança Paulista (BRA)",14 MAR 2020,1067,/athletes/athlete=14583976
366,1:48.58,Stefano MIGLIORATI,08 DEC 1994,ITA,6,,"Stadio Quercia, Rovereto (ITA)",08 SEP 2020,1067,/athletes/athlete=14521212
367,1:48.59,Filip ŠNEJDR,16 APR 1995,CZE,3,,"Atletický stadion města Plzně, Plzeň (CZE)",09 AUG 2020,1067,/athletes/athlete=14593168
367,1:48.59,Adam KSZCZOT,02 SEP 1989,POL,11,,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",19 AUG 2020,1067,/athletes/athlete=14217000
369,1:48.60,Filip ŠNEJDR,16 APR 1995,CZE,1f1,,"Stadin Míru, Tábor (CZE)",14 JUL 2020,1066,/athletes/athlete=14593168
369,1:48.60,Gabriele AQUARO,02 APR 1997,ITA,3,,"Stadio Colbachini, Padova (ITA)",29 AUG 2020,1066,/athletes/athlete=14644204
369,1:48.60,Daiki NEMOTO,18 OCT 1999,JPN,1h3,,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2020,1066,/athletes/athlete=14813831
369,1:48.60,Eduardo RIBEIRO,09 JAN 2001,BRA,1f1,,"Pista de Atletismo CEAR, Campinas (BRA)",10 OCT 2020,1066,/athletes/athlete=14816397
373,1:48.61,Thiago ANDRÉ,04 AUG 1995,BRA,1,,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",07 MAR 2020,1066,/athletes/athlete=14481680
373,1:48.61,Baptiste MISCHLER,23 NOV 1997,FRA,2f1,,"Stade de Stehelin, Bordeaux (FRA)",17 JUL 2020,1066,/athletes/athlete=14586376
373,1:48.61,Didrik WARLO,12 JAN 1999,NOR,2f3,,"Bislett Stadion, Oslo (NOR)",03 SEP 2020,1066,/athletes/athlete=14720158
373,1:48.61,Tamás KAZI,16 MAY 1985,HUN,2f1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 SEP 2020,1066,/athletes/athlete=14196588
373,1:48.61,Simone BARONTINI,05 JAN 1999,ITA,1,,"Stadio Zecchini, Grosseto (ITA)",19 SEP 2020,1066,/athletes/athlete=14676436
378,1:48.62,Taichi ICHINO,30 OCT 1992,JPN,1f2,,"Keizai University Athletics Stadium, Gifu (JPN)",08 AUG 2020,1066,/athletes/athlete=14636086
379,1:48.63,Tomáš VYSTRK,21 SEP 1993,CZE,1f1,,"Mestský Stadion Sletište, Kladno (CZE)",18 JUL 2020,1065,/athletes/athlete=14382616
379,1:48.63,George MILLS,12 MAY 1999,GBR,3f4,,"Norman Park Athletics Track, Bromley (GBR)",21 AUG 2020,1065,/athletes/athlete=14646350
381,1:48.65,Mikuto KANEKO,06 NOV 2001,JPN,1,,"Kokushikan University Stadium, Tama (JPN)",05 JUL 2020,1065,/athletes/athlete=14895782
381,1:48.65,Filip ŠNEJDR,16 APR 1995,CZE,2f1,,"Mestský Stadion Sletište, Kladno (CZE)",18 JUL 2020,1065,/athletes/athlete=14593168
381,1:48.65,Alejandro ESTÉVEZ,21 JAN 1992,ESP,5f1,,Castellón (ESP),24 AUG 2020,1065,/athletes/athlete=14375480
381,1:48.65,Yusuf BIZIMANA,06 SEP 2000,GBR,1f1,,"Lee Valley Athletics Centre, London (GBR)",29 AUG 2020,1065,/athletes/athlete=14769587
381,1:48.65,Colby ALEXANDER,13 JUN 1991,USA,2,,"Newton North HS, Newton, MA (USA)",07 SEP 2020,1065,/athletes/athlete=14411422
381,1:48.65,Guilherme KURTZ,27 AUG 1994,BRA,2h2,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1065,/athletes/athlete=14651217
387,1:48.68,Benjamin ROBERT,04 JAN 1998,FRA,1f1,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1064,/athletes/athlete=14683828
388,1:48.69,Luke YOUNG,23 NOV 2001,AUS,2f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1064,/athletes/athlete=14733176
389,1:48.70,Joshua LAY,11 APR 2000,GBR,1f1,,"Trafford Athletic Stadium, Manchester (GBR)",25 JUL 2020,1063,/athletes/athlete=14762113
389,1:48.70,José Carlos PINTO,03 MAY 1997,POR,3f2,,"Estadio Universitario, Lisboa (POR)",01 AUG 2020,1063,/athletes/athlete=14685821
389,1:48.70,John LEWIS,18 JAN 1996,USA,4,,"Alexandria, VA (USA)",01 AUG 2020,1063,/athletes/athlete=14537779
392,1:48.71,Daisuke SAKURAI,14 NOV 1993,JPN,4h2,,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2020,1063,/athletes/athlete=14545024
393,1:48.72,Didrik WARLO,12 JAN 1999,NOR,4f10,,"Bislett Stadion, Oslo (NOR)",30 JUN 2020,1063,/athletes/athlete=14720158
393,1:48.72,Julian RANC,14 SEP 1996,FRA,1f1,,"Stadion Rote Erde, Dortmund (GER)",15 AUG 2020,1063,/athletes/athlete=14590172
393,1:48.72,Noah BALTUS,03 FEB 2002,NED,2,,"Sportcomplex De Leidse Hout, Leiden (NED)",19 SEP 2020,1063,/athletes/athlete=14806069
393,1:48.72,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Fana Stadion, Bergen (NOR)",20 SEP 2020,1063,/athletes/athlete=14653717
397,1:48.74,Elvis MOKHONWANA,08 JAN 1998,RSA,1f3,,"UJ Soweto Campus, Johannesburg (RSA)",14 MAR 2020,1062,/athletes/athlete=14751250
397,1:48.74,Victor CURCUIANU,29 JUL 1999,ITA,2,,"Stadio Zecchini, Grosseto (ITA)",19 SEP 2020,1062,/athletes/athlete=14711660
397,1:48.74,Italo ARAUJO,09 MAR 1998,BRA,2f3,,"CNDA, Bragança Paulista (BRA)",18 DEC 2020,1062,/athletes/athlete=14663372
400,1:48.77,Hugo HOUYEZ,16 DEC 1995,FRA,3f1,,"Boudewijnstadion, Bruxelles (BEL)",09 AUG 2020,1061,/athletes/athlete=14643743
,,,,,,,,,,
400,1:48.77,Maarten PLAUM,01 MAR 1996,NED,3,,"Paul-Greifzu-Stadion, Dessau (GER)",08 SEP 2020,1061,/athletes/athlete=14659614
402,1:48.78,Leandro ALVES,04 AUG 1998,BRA,3,,"COTP Stadium, São Paulo (BRA)",06 DEC 2020,1061,/athletes/athlete=14853873
403,1:48.79,Mason COHEN,19 SEP 1996,AUS,1f1,,"AIS Athletics Track, Canberra (AUS)",24 JAN 2020,1061,/athletes/athlete=14560162
403,1:48.79,Illia KARNAVUKHAU,03 JUL 1999,BLR,1f3,,"Dinamo National Olympic Stadium, Minsk (BLR)",02 AUG 2020,1061,/athletes/athlete=14795759
403,1:48.79,Joao BUSSOTTI NEVES,10 MAY 1993,ITA,4,,"Stadio Colbachini, Padova (ITA)",29 AUG 2020,1061,/athletes/athlete=14381280
406,1:48.80,Daniel Beraki YAFIET,31 DEC 2000,ERI,2,,Asmara (ERI),21 FEB 2020,1060,/athletes/athlete=14919312
407,1:48.81,Jack LUNN,16 OCT 2001,AUS,3f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1060,/athletes/athlete=14861747
407,1:48.81,Gabriele AQUARO,02 APR 1997,ITA,1h1,,"Stadio Colbachini, Padova (ITA)",28 AUG 2020,1060,/athletes/athlete=14644204
407,1:48.81,Yutarou IIHAMA,05 OCT 2001,JPN,1f11,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",27 OCT 2020,1060,/athletes/athlete=14854781
410,1:48.82,Sigurd TVEIT,16 MAR 2000,NOR,5f10,,"Bislett Stadion, Oslo (NOR)",30 JUN 2020,1060,/athletes/athlete=14800434
410,1:48.82,Catalin TECUCEANU,09 SEP 1999,ROU,1,,"Campo Scuola G. Perraro, Vicenza (ITA)",11 JUL 2020,1060,/athletes/athlete=14739638
410,1:48.82,Darius KIPYEGO,05 SEP 2002,USA,6,,"William Hall High, West Hartford, CT (USA)",27 JUL 2020,1060,/athletes/athlete=14865910
410,1:48.82,Jakub DAVIDÍK,20 JAN 2002,CZE,4,,"Atletický stadion města Plzně, Plzeň (CZE)",09 AUG 2020,1060,/athletes/athlete=14757886
410,1:48.82,Renaud ROSIERE,27 SEP 1993,FRA,4f1,,"Boudewijnstadion, Bruxelles (BEL)",09 AUG 2020,1060,/athletes/athlete=14419337
415,1:48.83,Jacob DUMFORD,,USA,6,,"Alexandria, VA (USA)",26 JUN 2020,1060,/athletes/athlete=14490988
415,1:48.83,Simone BARONTINI,05 JAN 1999,ITA,1f1,,"Stadio Comunale, Bellinzona (SUI)",01 JUL 2020,1060,/athletes/athlete=14676436
415,1:48.83,Jan FRIŠ,19 DEC 1995,CZE,2f1,,"Stadin Míru, Tábor (CZE)",14 JUL 2020,1060,/athletes/athlete=14487871
415,1:48.83,Adrien TUAL,24 DEC 2000,FRA,2,,"Stade municipal Les Quéfets, Tournefeuille (FRA)",08 AUG 2020,1060,/athletes/athlete=14761014
415,1:48.83,Renaud ROSIERE,27 SEP 1993,FRA,1h3,,"Stadium Municipal, Albi (FRA)",12 SEP 2020,1060,/athletes/athlete=14419337
420,1:48.84,Tamás KAZI,16 MAY 1985,HUN,4f1,,"Egyetemi Stadion, Veszprém (HUN)",16 JUL 2020,1059,/athletes/athlete=14196588
420,1:48.84,Igor RASHCHUPKIN,03 SEP 1997,RUS,1f2,,"Stadium Desna, Bryansk (RUS)",30 AUG 2020,1059,/athletes/athlete=14806248
422,1:48.85,Samuel CHAPPLE,23 NOV 1998,NED,5f1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",15 AUG 2020,1059,/athletes/athlete=14742576
422,1:48.85,Gerbrand HUTS,19 FEB 1998,BEL,1f2,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1059,/athletes/athlete=14561465
424,1:48.86,Harry MAY,06 SEP 1992,AUS,9f1,,"SOPAC, Sydney (AUS)",22 FEB 2020,1059,/athletes/athlete=14463265
424,1:48.86,Enrico RICCOBON,29 MAR 1995,ITA,3f2,,Lignano Sabbiadoro (ITA),17 AUG 2020,1059,/athletes/athlete=14481034
426,1:48.87,Sigurd TVEIT,16 MAR 2000,NOR,1f1,,"Stadion, Kristiansand (NOR)",07 AUG 2020,1058,/athletes/athlete=14800434
426,1:48.87,Aurele VANDEPUTTE,14 MAY 1995,BEL,5f1,,"Boudewijnstadion, Bruxelles (BEL)",09 AUG 2020,1058,/athletes/athlete=14527611
426,1:48.87,Mehmet ÇELİK,01 DEC 2001,TUR,1f7,,"Ekrem Koçak Atletizm Pisti, Istanbul (TUR)",05 SEP 2020,1058,/athletes/athlete=14781078
429,1:48.88,Jesús GÓMEZ,24 APR 1991,ESP,1f1,,Ciudad Real (ESP),19 SEP 2020,1058,/athletes/athlete=14684882
430,1:48.89,Oskar SCHWARZER,10 JUN 1999,GER,5f8,,"TSV Stadion, Pfungstadt (GER)",01 AUG 2020,1058,/athletes/athlete=14684802
430,1:48.89,Andreas KRAMER,13 APR 1997,SWE,1,,"Ratina Stadium, Tampere (FIN)",06 SEP 2020,1058,/athletes/athlete=14538207
430,1:48.89,Renaud ROSIERE,27 SEP 1993,FRA,2f1,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1058,/athletes/athlete=14419337
430,1:48.89,Kentaro USUDA,22 MAR 1999,JPN,5,,"Denka Big Swan Stadium, Niigata (JPN)",03 OCT 2020,1058,/athletes/athlete=14750941
434,1:48.90,Michele DE BERTI,27 JAN 1999,ITA,3,,"Stadio Zecchini, Grosseto (ITA)",19 SEP 2020,1058,/athletes/athlete=14738380
435,1:48.91,Isaac HOCKEY,22 AUG 1997,AUS,1f1,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",23 JAN 2020,1057,/athletes/athlete=14571523
435,1:48.91,Guillaume LAURENT,17 JUN 1990,SUI,1f1,,"Stade Municipal, Ambilly (FRA)",19 SEP 2020,1057,/athletes/athlete=14383806
435,1:48.91,Pejman YARVALI,17 SEP 1992,IRI,1,,Tehran (IRI),02 OCT 2020,1057,/athletes/athlete=14585406
438,1:48.92,Bram BUIGEL,12 MAY 1995,NED,2,,"Sportcentrum Papendal, Arnhem (NED)",18 JUL 2020,1057,/athletes/athlete=14536029
438,1:48.92,Yusuke TAKAHASHI,28 JUL 1999,JPN,5,,"Denka Big Swan Stadium, Niigata (JPN)",13 SEP 2020,1057,/athletes/athlete=14803090
440,1:48.95,Adrian ENGSTLER,18 SEP 2002,GER,1f1,,"Herbert Winter Stadion, Winnenden (GER)",18 JUL 2020,1056,/athletes/athlete=14844375
441,1:48.96,Eduardo RIBEIRO,09 JAN 2001,BRA,2,,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",07 MAR 2020,1056,/athletes/athlete=14816397
441,1:48.96,Andrea ROMANI,25 MAY 1999,ITA,4,,"Stadio Zecchini, Grosseto (ITA)",19 SEP 2020,1056,/athletes/athlete=14676435
443,1:48.97,Eduardo ROMERO,27 JAN 1999,ESP,2,,Ibiza (ESP),29 AUG 2020,1056,/athletes/athlete=14691566
444,1:48.98,Dennis BIEDERBICK,09 AUG 1997,GER,4,,"Paul-Greifzu-Stadion, Dessau (GER)",08 SEP 2020,1055,/athletes/athlete=14593055
445,1:48.99,Žan RUDOLF,09 MAY 1993,SLO,2f1,,"Leppävaaran Stadion, Espoo (FIN)",05 AUG 2020,1055,/athletes/athlete=14375002
445,1:48.99,John GREGOREK,07 DEC 1991,USA,3,,"Newton North HS, Newton, MA (USA)",07 SEP 2020,1055,/athletes/athlete=14509722
447,1:49.00,Mohamed ABOUETTAHERY,02 FEB 2001,MAR,3f1,,"Leppävaaran Stadion, Espoo (FIN)",05 AUG 2020,1055,/athletes/athlete=14806121
447,1:49.00,Kacper LEWALSKI,07 MAY 2003,POL,6f2,,"Forest Stadium, Sopot (POL)",13 AUG 2020,1055,/athletes/athlete=14854093
447,1:49.00,Hakim SALEH,21 MAY 1996,CZE,4,,"Vitkovice, Ostrava (CZE)",22 AUG 2020,1055,/athletes/athlete=14627316
447,1:49.00,Jurgen WIELART,17 JAN 1992,NED,2f2,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1055,/athletes/athlete=14429680
447,1:49.00,Yegor SHAROV,16 DEC 1988,RUS,4,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",09 SEP 2020,1055,/athletes/athlete=14387691
452,1:49.01,Keletso NOTHONON,,RSA,1,,"UJ Soweto Campus, Johannesburg (RSA)",08 FEB 2020,1054,/athletes/athlete=14932762
452,1:49.01,Jurgen WIELART,17 JAN 1992,NED,1f1,,"Pim Mulier Sportpark, Haarlem (NED)",09 AUG 2020,1054,/athletes/athlete=14429680
452,1:49.01,Tibo DE SMET,20 MAY 1999,BEL,3f2,,"Stadion De Veen, Heusden-Zolder (BEL)",06 SEP 2020,1054,/athletes/athlete=14681328
452,1:49.01,Matheus Americo MEDEIROS PESSOA,09 APR 1996,BRA,2h3,,"COTP Stadium, São Paulo (BRA)",10 DEC 2020,1054,/athletes/athlete=14583976
456,1:49.02,Kristian Uldbjerg HANSEN,15 AUG 1996,DEN,2f1,,"Stadion, Kristiansand (NOR)",07 AUG 2020,1054,/athletes/athlete=14541538
457,1:49.03,Matthew SCOTT,02 MAY 1997,AUS,4f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1054,/athletes/australia/matthew-scott-014575412
458,1:49.04,Valentijn WEINANS,29 DEC 1995,NED,6f1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",15 AUG 2020,1053,/athletes/athlete=14595045
458,1:49.04,Stepan PEREGUDOV,30 JAN 1994,RUS,2f2,,"Stadium Desna, Bryansk (RUS)",30 AUG 2020,1053,/athletes/athlete=14513793
460,1:49.06,Abdessalam MACHMACH,01 JAN 1989,ITA,5,,"Stadio Colbachini, Padova (ITA)",29 AUG 2020,1053,/athletes/athlete=14585063
460,1:49.06,Konstantin KHOLMOGOROV,07 FEB 1996,RUS,1h4,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",08 SEP 2020,1053,/athletes/athlete=14598171
462,1:49.07,Stephen KNUCKEY,03 NOV 1994,AUS,3f1,,"Rawlinson Track – Melbourne Uni, Melbourne (AUS)",18 FEB 2020,1053,/athletes/athlete=14496839
462,1:49.07,Luke SHAW,07 DEC 2001,AUS,1f1,,"WA Sports Centre, Perth (AUS)",06 NOV 2020,1053,/athletes/athlete=14731214
464,1:49.08,Bram BUIGEL,12 MAY 1995,NED,2,,"Sportcentrum Papendal, Arnhem (NED)",04 JUL 2020,1052,/athletes/athlete=14536029
464,1:49.08,David LORENZO,17 AUG 1993,ESP,1h1,,"Estadio Vallehermoso, Madrid (ESP)",01 SEP 2020,1052,/athletes/athlete=14473836
464,1:49.08,Bram ANDERIESSEN,01 AUG 1999,NED,3,,"Sportcomplex De Leidse Hout, Leiden (NED)",19 SEP 2020,1052,/athletes/athlete=14702606
464,1:49.08,Sigurd TVEIT,16 MAR 2000,NOR,2,,"Fana Stadion, Bergen (NOR)",20 SEP 2020,1052,/athletes/athlete=14800434
468,1:49.09,Mark ENGLISH,18 MAR 1993,IRL,1f1,,"Mary Peters Track, Belfast (GBR)",13 AUG 2020,1052,/athletes/athlete=14377494
468,1:49.09,Yevhen HUTSOL,13 MAY 1990,UKR,1f4,,"Avangard Stadium, Lutsk (UKR)",16 AUG 2020,1052,/athletes/athlete=14404888
468,1:49.09,Michał ROZMYS,13 MAR 1995,POL,1h3,,"Stadion OSiR, Wloclawek (POL)",29 AUG 2020,1052,/athletes/athlete=14473912
468,1:49.09,Pablo SÁNCHEZ-VALLADARES,12 NOV 1997,ESP,1h1,,"Estadio Vallehermoso, Madrid (ESP)",12 SEP 2020,1052,/athletes/athlete=14645066
472,1:49.10,Max WHARTON,08 JUL 1996,GBR,2f1,,"Trafford Athletic Stadium, Manchester (GBR)",15 SEP 2020,1052,/athletes/athlete=14589177
472,1:49.10,Roman TROTSENKO,09 MAY 1992,RUS,1f4,,"Slava Metreveli Stadium, Sochi (RUS)",20 SEP 2020,1052,/athletes/athlete=14575557
474,1:49.11,Renier DE VILLIERS,01 APR 2002,RSA,1,,"McArthur Stadium, Potchefstroom (RSA)",01 DEC 2020,1051,/athletes/athlete=14838663
475,1:49.12,Carlos DE OLIVEIRA SANTOS,09 JAN 1990,BRA,1,,"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)",29 FEB 2020,1051,/athletes/athlete=14639750
475,1:49.12,Noah BALTUS,03 FEB 2002,NED,3,,"Sportcentrum Papendal, Arnhem (NED)",04 JUL 2020,1051,/athletes/athlete=14806069
475,1:49.12,Victor CURCUIANU,29 JUL 1999,ITA,2h1,,"Stadio Colbachini, Padova (ITA)",28 AUG 2020,1051,/athletes/athlete=14711660
475,1:49.12,Daisuke SAKURAI,14 NOV 1993,JPN,6,,"Denka Big Swan Stadium, Niigata (JPN)",03 OCT 2020,1051,/athletes/athlete=14545024
479,1:49.13,Dylan STENSON,30 SEP 1988,AUS,1f1,,"SA Athletic Stadium, Adelaide (AUS)",15 FEB 2020,1051,/athletes/athlete=14635338
479,1:49.13,Djoao LOBLES,14 JAN 2001,NED,6f1,,"Boudewijnstadion, Bruxelles (BEL)",09 AUG 2020,1051,/athletes/athlete=14790166
479,1:49.13,Eduardo RIBEIRO,09 JAN 2001,BRA,1,,Bragança Paulista (BRA),03 OCT 2020,1051,/athletes/athlete=14816397
482,1:49.14,Hakim SALEH,21 MAY 1996,CZE,5,,"Atletický stadion města Plzně, Plzeň (CZE)",09 AUG 2020,1051,/athletes/athlete=14627316
482,1:49.14,Krzysztof RÓŻNICKI,29 AUG 2003,POL,2h3,,"Stadion OSiR, Wloclawek (POL)",29 AUG 2020,1051,/athletes/athlete=14852044
484,1:49.15,Mariano GARCÍA,25 SEP 1997,ESP,6f1,,Castellón (ESP),24 AUG 2020,1050,/athletes/athlete=14656737
484,1:49.15,Didrik WARLO,12 JAN 1999,NOR,3,,"Fana Stadion, Bergen (NOR)",20 SEP 2020,1050,/athletes/athlete=14720158
486,1:49.16,Joonas RINNE,20 MAY 1995,FIN,1,,"Leppävaaran Stadion, Espoo (FIN)",27 JUN 2020,1050,/athletes/athlete=14482918
486,1:49.16,Joao BUSSOTTI NEVES,10 MAY 1993,ITA,2,,"Campo Scuola G. Perraro, Vicenza (ITA)",11 JUL 2020,1050,/athletes/athlete=14381280
488,1:49.17,Dylan STENSON,30 SEP 1988,AUS,5f2,,"Lakeside Stadium, Melbourne (AUS)",06 FEB 2020,1050,/athletes/athlete=14635338
488,1:49.17,Vincent CRISP,17 AUG 1997,USA,7f1,,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1050,/athletes/athlete=14602413
488,1:49.17,Yevhen HUTSOL,13 MAY 1990,UKR,1,,"Avangard Stadium, Lutsk (UKR)",30 AUG 2020,1050,/athletes/athlete=14404888
488,1:49.17,Kevin LÓPEZ,12 JUN 1990,ESP,2f1,,Ciudad Real (ESP),19 SEP 2020,1050,/athletes/athlete=14165935
492,1:49.19,Yuki FUTAMI,11 SEP 2002,JPN,3f1,,"Athletics Stadium, Toyama (JPN)",05 SEP 2020,1049,/athletes/athlete=14915434
493,1:49.20,Jordan WILLIAMSZ,21 AUG 1992,AUS,1f10,,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",30 JAN 2020,1049,/athletes/athlete=14336237
493,1:49.20,Max Paulo OLIVEIRA DOS SANTOS,01 SEP 1999,BRA,8,,"COTP Stadium, São Paulo (BRA)",11 DEC 2020,1049,/athletes/athlete=14755062
495,1:49.21,Mikuto KANEKO,06 NOV 2001,JPN,1f2,,"Athletics Stadium, Hadano (JPN)",11 JUL 2020,1049,/athletes/athlete=14895782
495,1:49.21,Nuno PEREIRA,27 NOV 2000,POR,1,,"Estadio Universitario, Lisboa (POR)",08 AUG 2020,1049,/athletes/athlete=14780010
495,1:49.21,Hamza BELMIR,06 NOV 1994,MAR,f2,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1049,/athletes/athlete=14642007
498,1:49.22,Murat YALÇINKAYA,06 JAN 2000,TUR,2f7,,"Ekrem Koçak Atletizm Pisti, Istanbul (TUR)",05 SEP 2020,1048,/athletes/athlete=14735326
498,1:49.22,Charlie JEFFRESON,10 SEP 2004,AUS,1f1,,"The Crest Athletics Centre, Sydney (AUS)",19 DEC 2020,1048,/athletes/athlete=14861793
500,1:49.23,Nijel AMOS,15 MAR 1994,BOT,1,,"Portland, OR (USA)",08 AUG 2020,1048,/athletes/athlete=14426466
,,,,,,,,,,
500,1:49.23,Julian RANC,14 SEP 1996,FRA,3f1,,"Stadium Municipal, Albi (FRA)",13 SEP 2020,1048,/athletes/athlete=14590172
500,1:49.23,Romain SEVERIN,01 MAY 2001,FRA,1,,"Stade Régional G. Hebert, Reims (FRA)",23 SEP 2020,1048,/athletes/athlete=14794612
500,1:49.23,Sho KAWAMOTO,01 MAR 1993,JPN,2h3,,"Denka Big Swan Stadium, Niigata (JPN)",02 OCT 2020,1048,/athletes/athlete=14388853
